"period","stateid","price","sales"
"2018-07","MN",11.03,"6300.67302"
"2018-07","MO",11.76,"8090.63319"
"2018-07","MS",9.12,"4948.04092"
"2018-07","MT",9.27,"1216.68308"
"2018-07","MTN",10.07,"30090.92347"
"2018-07","NC",9.58,"13472.88197"
"2018-07","ND",9.33,"1645.20024"
"2018-07","NE",10.02,"3050.48419"
"2018-07","NEW",17.35,"11475.40448"
"2018-07","NH",16.72,"1053.48906"
"2018-07","NJ",13.72,"8031.2856"
"2018-07","NM",10.12,"2384.77847"
"2018-07","NV",9.28,"4424.51744"
"2018-07","NY",16.15,"14471.65584"
"2018-07","OH",10.18,"14262.25644"
"2018-07","OK",8.48,"6580.71781"
"2018-07","OR",8.75,"4410.23594"
"2018-07","PA",10.12,"13531.7901"
"2018-07","PACC",15.09,"37158.55004"
"2018-07","PACN",26.4,"1302.96005"
"2018-07","RI",16.79,"793.64394"
"2018-07","SAT",10.12,"80931.13817"
"2018-07","SC",10.29,"8002.93433"
"2018-07","SD",10.26,"1115.25774"
"2018-07","TN",9.7,"9964.19534"
"2018-07","TX",8.82,"42840.4194"
"2018-07","US",10.99,"375023.42713"
"2018-07","UT",8.78,"3295.7061"
"2018-07","VA",9.76,"10881.10318"
"2018-07","VT",15.07,"502.62803"
"2018-07","WA",7.88,"7405.44364"
"2018-07","WI",10.78,"6723.9359"
"2018-07","WNC",11.01,"29086.96988"
"2018-07","WSC",8.62,"63461.54349"
"2018-07","WV",8.78,"2865.69128"
"2018-07","WY",8.16,"1458.87209"
"2018-06","AK",19.41,"447.19017"
"2018-06","AL",9.91,"8162.50338"
"2018-06","AR",7.86,"4433.56505"
"2018-06","AZ",11.47,"7859.38021"
"2018-06","CA",17.72,"21098.82609"
"2018-06","CO",10.44,"4985.71597"
"2018-06","CT",18.55,"2261.93779"
"2018-06","DC",11.87,"961.76404"
"2018-06","DE",10.54,"957.40604"
"2018-06","ENC",10.2,"49824.34358"
"2018-06","ESC",9.52,"28180.38478"
"2018-06","FL",10.2,"21847.64037"
"2018-06","GA",10.2,"12855.77627"
"2018-06","HI",28.84,"781.81649"
"2018-06","IA",10.25,"4485.05318"
"2018-06","ID",8.45,"2218.61061"
"2018-06","IL",9.59,"12894.78928"
"2018-06","IN",9.78,"8903.49465"
"2018-06","KS",11.26,"3958.13477"
"2018-06","KY",8.79,"6401.61305"
"2018-06","LA",7.7,"8676.30298"
"2018-06","MA",17.68,"4298.54492"
"2018-06","MAT",12.95,"30353.43996"
"2018-06","MD",11.71,"5087.62665"
"2018-06","ME",13.13,"962.77427"
"2018-06","MI",11.51,"9017.4003"
"2018-06","MN",11,"5887.73922"
"2018-06","MO",11.75,"7437.12022"
"2018-06","MS",9.51,"4586.01831"
"2018-06","MT",8.8,"1078.81683"
"2018-06","MTN",9.98,"26165.4477"
"2018-06","NC",9.27,"12452.30668"
"2018-06","ND",9.4,"1551.48584"
"2018-06","NE",9.37,"2707.20522"
"2018-06","NEW",17.14,"9432.75774"
"2018-06","NH",16.63,"878.68368"
"2018-06","NJ",13.66,"6606.7179"
"2018-06","NM",9.84,"2216.4653"
"2018-06","NV",9.21,"3674.27939"
"2018-06","NY",15.41,"12083.09932"
"2018-06","OH",10.08,"13024.12236"
"2018-06","OK",8.69,"6074.74223"
"2018-06","OR",8.74,"3835.81696"
